image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.84466,car,car,True
drive_022,2,5,0.878089,truck,bus,False
drive_022,3,3,0.841018,car,car,True
drive_022,4,1,0.877613,car,car,True
drive_022,5,2,0.919224,bus,van,False
drive_033,2,6,0.843584,car,car,True
drive_033,3,7,0.909821,car,car,True
drive_033,4,3,0.919412,car,car,True
drive_033,5,5,0.91288,car,car,True
drive_033,7,9,0.90154,car,car,True
drive_033,17,2,0.858075,truck,bus,False
drive_033,18,11,0.876117,car,car,True
drive_033,19,8,0.894779,car,car,True
drive_033,20,10,0.813084,car,car,True
drive_033,23,4,0.823891,car,car,True
drive_033,31,1,0.991096,bus,van,False
drive_033,32,12,0.975213,bus,van,False
drive_038,1,17,0.935987,car,car,True
drive_038,10,15,0.908407,van,truck,False
drive_038,18,1,0.933788,car,car,True
drive_038,19,2,0.933015,car,car,True
drive_038,20,3,0.950775,car,car,True
drive_038,21,4,0.950618,car,car,True
drive_038,22,16,0.840187,car,car,True
drive_038,27,14,0.797879,car,car,True
drive_038,28,10,0.896579,car,car,True
drive_038,29,13,0.91559,car,car,True
drive_038,30,11,0.771286,car,car,True
drive_038,31,12,0.728682,car,car,True
drive_038,51,5,0.933561,truck,bus,False
drive_038,53,9,0.917219,truck,bus,False
drive_038,63,6,0.850678,car,car,True
drive_038,64,7,0.880402,car,car,True
drive_038,65,8,0.863154,car,car,True
drive_008,3,1,0.825241,truck,bus,False
drive_008,9,4,0.902861,car,car,True
drive_008,10,2,0.920884,car,car,True
drive_008,13,7,0.829853,car,car,True
drive_008,14,13,0.622993,car,car,True
drive_008,15,15,0.333654,car,car,True
drive_008,18,16,0.856377,car,car,True
drive_008,20,5,0.822253,van,truck,False
drive_008,24,9,0.965595,bus,van,False
drive_008,25,12,0.895432,van,truck,False
drive_008,26,3,0.919606,van,truck,False
drive_008,27,11,0.951118,car,car,True
drive_008,28,14,0.852529,car,car,True
drive_008,29,6,0.908849,car,car,True
